"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11662","Гость не может забронировать слот","e2e","2026-09-25","passed","2026-09-25","Гость: возможности неавторизованного пользователя","tests/e2e/guest-access.spec.ts","",""
"","5526","Удаление навыков «могу помочь», ""хочу разобрать""","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","4441","Навык «хочу разобрать»: выбираем второй тип и добавляем","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","6","пароль ровно 8 символов — валиден","unit","2026-09-25","passed","2026-09-25","Валидация пароля при регистрации","tests/unit/slots.spec.ts","",""
"","3294","уже зарегистрированный email — форма показывает ошибку сервера","e2e","2026-09-25","passed","2026-09-25","Форма регистрации","tests/e2e/register-form.spec.ts","",""
"","4494","Свободный слот можно удалить","e2e","2026-09-25","passed","2026-09-25","Мои слоты","tests/e2e/slots.spec.ts","",""
"","18484","основной путь + гонка за слот: регистрация → навык → слот → поиск в каталоге → бронирование → «Мои встречи» у обоих → второй гость видит ошибку","e2e","2026-09-25","passed","2026-09-25","","tests/e2e/booking-flow.spec.ts","",""
"","1","формат — только часы и минуты, без даты и секунд","unit","2026-09-25","passed","2026-09-25","Unit: отображение времени слота в часовом поясе участника","tests/unit/slots.spec.ts","",""
"","4","пересекающиеся слоты — overlap === true","unit","2026-09-25","passed","2026-09-25","Unit: пересечение слотов по времени","tests/unit/slots.spec.ts","",""
"","9224","Гость видит на карточке участника полный профиль","e2e","2026-09-25","passed","2026-09-25","Публичный профиль участника","tests/e2e/public-profile.spec.ts","",""
"","1","слоты в разное время суток — overlap === false","unit","2026-09-25","passed","2026-09-25","Unit: пересечение слотов по времени","tests/unit/slots.spec.ts","",""
"","6915","Слоты на 25-минутной сетке можно ставить впритык: 12:00 и 12:25","e2e","2026-09-25","passed","2026-09-25","Длительность слота — 25 минут (R7.1): границы наблюдаемости","tests/e2e/slot-duration.spec.ts","",""
"","35","нельзя забронировать слот с датой в прошлом — 409 slot_in_past (сценарий 7)","api","2026-09-25","passed","2026-09-25","API: бронирование слота PomidorQA","tests/api/booking-api.spec.ts","",""
"","35","бронирование несуществующего слота — 404 slot_not_found","api","2026-09-25","passed","2026-09-25","API: бронирование слота PomidorQA","tests/api/booking-api.spec.ts","",""
"","16358","отменённая встреча уходит в «Прошедшие и отменённые» — её видят гость и хост после перезагрузки","e2e","2026-09-25","passed","2026-09-25","Мои встречи: отмена брони","tests/e2e/booking-cancel.spec.ts","",""
"","7","регистрация нового участника — 201, аккаунт создан с переданными данными","api","2026-09-25","passed","2026-09-25","API: регистрация участника PomidorQA","tests/api/booking-api.spec.ts","",""
"","1","слот B целиком внутри слота A (вложенность) — overlap === true","unit","2026-09-25","passed","2026-09-25","Unit: пересечение слотов по времени","tests/unit/slots.spec.ts","",""
"","5443","Выход закрывает сессию","e2e","2026-09-25","passed","2026-09-25","Вход и выход","tests/e2e/auth-flow.spec.ts","",""
"","50","бронирование свободного слота — 201, статус confirmed (сценарий 5)","api","2026-09-25","passed","2026-09-25","API: бронирование слота PomidorQA","tests/api/booking-api.spec.ts","",""
"","11712","После брони «Мои встречи» у гостя и хоста показывают только начало встречи","e2e","2026-09-25","passed","2026-09-25","Длительность слота — 25 минут (R7.1): границы наблюдаемости","tests/e2e/slot-duration.spec.ts","",""
"","2463","email без «@» не проходит валидацию","e2e","2026-09-25","passed","2026-09-25","Форма регистрации","tests/e2e/register-form.spec.ts","",""
"","9188","пустая выдача и сброс результатов при смене запроса","e2e","2026-09-25","passed","2026-09-25","Каталог: поиск","tests/e2e/catalog-search.spec.ts","",""
"","4013","Пустой навык не добавляется","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","2412","пароль короче 8 символов не проходит валидацию","e2e","2026-09-25","passed","2026-09-25","Форма регистрации","tests/e2e/register-form.spec.ts","",""
"","12247","Забронированный слот исчезает со страницы участника","e2e","2026-09-25","passed","2026-09-25","Состояние бронирования: окно подтверждения и календарь участника","tests/e2e/booking-state.spec.ts","",""
"","6967","Успешный вход держит сессию после перезагрузки","e2e","2026-09-25","passed","2026-09-25","Вход и выход","tests/e2e/auth-flow.spec.ts","",""
"","12","один и тот же момент времени показывается по-разному в разных поясах","unit","2026-09-25","passed","2026-09-25","Unit: отображение времени слота в часовом поясе участника","tests/unit/slots.spec.ts","",""
"","36","нельзя забронировать собственный слот — 409 cannot_book_own_slot","api","2026-09-25","passed","2026-09-25","API: бронирование слота PomidorQA","tests/api/booking-api.spec.ts","",""
"","3680","Заполняем поле ""О себе""","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","11426","Все часовые пояса сохраняются и возвращаются с сервера","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","1","слоты впритык друг к другу (конец первого = начало второго) — overlap === false","unit","2026-09-25","passed","2026-09-25","Unit: пересечение слотов по времени","tests/unit/slots.spec.ts","",""
"","8651","Приватные страницы недоступны гостю","e2e","2026-09-25","passed","2026-09-25","Гость: возможности неавторизованного пользователя","tests/e2e/guest-access.spec.ts","",""
"","13255","Поиск не находит хоста по навыку из раздела «хочу разобрать» (KD-1)","e2e","2026-09-25","passed","2026-09-25","Известные дефекты продукта","tests/e2e/known-defects.spec.ts","",""
"","6","повторная регистрация с тем же email — 409 email_taken","api","2026-09-25","passed","2026-09-25","API: регистрация участника PomidorQA","tests/api/booking-api.spec.ts","",""
"","12083","хост без слота не попадает в каталог, а появившись — не видит сам себя","e2e","2026-09-25","passed","2026-09-25","Каталог: поиск","tests/e2e/catalog-search.spec.ts","",""
"","79","повторное бронирование уже занятого слота — 409 slot_already_booked","api","2026-09-25","passed","2026-09-25","API: бронирование слота PomidorQA","tests/api/booking-api.spec.ts","",""
"","14282","хост с навыком, но без слота, не виден; после добавления слота появляется","e2e","2026-09-25","passed","2026-09-25","Каталог: попадание в выдачу зависит от слота","tests/e2e/catalog-search.spec.ts","",""
"","1","полностью совпадающие диапазоны — overlap === true","unit","2026-09-25","passed","2026-09-25","Unit: пересечение слотов по времени","tests/unit/slots.spec.ts","",""
"","4071","Смена имени в профиле","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","4480","вход с неверными данными — одинаковая ошибка в обоих случаях, без уточнения причины","e2e","2026-09-25","passed","2026-09-25","Вход с неверными данными","tests/e2e/login-error.spec.ts","",""
"","10903","Закрытие окна подтверждения не создаёт бронь","e2e","2026-09-25","passed","2026-09-25","Состояние бронирования: окно подтверждения и календарь участника","tests/e2e/booking-state.spec.ts","",""
"","4275","Навык: заполняем, выбираем, добавляем","e2e","2026-09-25","passed","2026-09-25","Заполнение профиля после регистрации","tests/e2e/profile-flow.spec.ts","",""
"","7683","Гость видит карточку участника в каталоге","e2e","2026-09-25","passed","2026-09-25","Гость: возможности неавторизованного пользователя","tests/e2e/guest-access.spec.ts","",""
